code_module,code_presentation,student_id,gender_encoded,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target_grade,is_disabled,date_registration,date_unregistration,registration_day,is_unregistered,days_enrolled,sum_click_mean,sum_click_std,sum_click_sum,sum_click_count,is_high_engagement_sum,is_low_engagement_sum,score_mean,score_std,score_min,score_max,score_count,data_source
AAA,2013J,104476,m,ireland,post graduate qualification,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999891,,365.0,0,16071,4.82,10.54,4777.0,992.0,139.0,0.0,79.6,3.21,77.0,85.0,5.0,oulad
AAA,2013J,106247,m,south region,he qualification,80-90%,35-55,0,60,no,Withdrawn,0,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000175,1.0,1,16070,3.21,3.96,465.0,145.0,15.0,0.0,60.0,11.27,47.0,67.0,3.0,oulad
AAA,2013J,106577,m,east midlands region,lower than a level,20-30%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999893,,365.0,0,16071,3.32,3.72,733.0,221.0,21.0,0.0,53.4,9.96,38.0,65.0,5.0,oulad
AAA,2013J,110175,m,east anglian region,he qualification,80-90%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999890,,365.0,0,16071,2.91,3.26,998.0,343.0,23.0,0.0,63.4,6.58,53.0,69.0,5.0,oulad
AAA,2013J,111717,f,east anglian region,he qualification,90-100%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999957,,365.0,0,16071,3.98,4.72,2343.0,589.0,57.0,0.0,81.0,1.73,80.0,83.0,3.0,oulad
AAA,2013J,113295,m,yorkshire region,lower than a level,60-70%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999974,,365.0,0,16071,3.55,4.01,3553.0,1001.0,86.0,0.0,77.6,2.19,75.0,81.0,5.0,oulad
AAA,2013J,114017,f,north region,post graduate qualification,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999971,,365.0,0,16071,3.28,3.92,757.0,231.0,19.0,0.0,71.8,3.77,66.0,76.0,5.0,oulad
AAA,2013J,114999,m,yorkshire region,he qualification,60-70%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999932,,365.0,0,16071,2.66,2.89,1358.0,510.0,20.0,0.0,72.8,10.76,54.0,80.0,5.0,oulad
AAA,2013J,116541,m,wales,he qualification,0-10%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999932,,365.0,0,16071,3.67,4.21,1886.0,514.0,54.0,0.0,62.4,9.53,50.0,76.0,5.0,oulad
AAA,2013J,116692,m,east anglian region,a level or equivalent,70-80%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999968,,365.0,0,16071,3.56,3.49,1108.0,311.0,19.0,0.0,74.2,3.03,72.0,78.0,5.0,oulad
AAA,2013J,118983,m,east midlands region,he qualification,30-40%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999901,,365.0,0,16071,2.56,2.58,284.0,111.0,6.0,0.0,61.8,10.26,45.0,73.0,5.0,oulad
AAA,2013J,123044,m,south region,a level or equivalent,40-50%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999918,,365.0,0,16071,3.4,3.57,2041.0,600.0,44.0,0.0,71.4,2.61,68.0,75.0,5.0,oulad
AAA,2013J,127582,f,east midlands region,a level or equivalent,40-50%,0-35,0,180,no,Pass,0,1969-12-31 23:59:59.999999969,,365.0,0,16071,3.0,4.17,1321.0,440.0,23.0,0.0,69.6,3.58,66.0,75.0,5.0,oulad
AAA,2013J,129955,m,west midlands region,a level or equivalent,50-60%,0-35,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999803,1970-01-01 00:00:00.000000135,365.0,1,16071,3.52,4.03,1888.0,537.0,38.0,0.0,81.0,4.1,76.0,85.0,6.0,oulad
AAA,2013J,132976,f,east anglian region,lower than a level,80-90%,35-55,0,120,no,Pass,0,1969-12-31 23:59:59.999999925,,365.0,0,16071,3.42,3.32,520.0,152.0,11.0,0.0,67.4,5.77,62.0,75.0,5.0,oulad
AAA,2013J,134143,f,south east region,a level or equivalent,90-100%,35-55,0,60,no,Distinction,0,1969-12-31 23:59:59.999999904,,365.0,0,16071,4.8,5.6,2732.0,569.0,84.0,0.0,84.4,2.41,81.0,87.0,5.0,oulad
AAA,2013J,135335,f,east anglian region,lower than a level,20-30%,0-35,0,180,no,Withdrawn,0,1969-12-31 23:59:59.999999971,1970-01-01 00:00:00.000000030,365.0,1,16071,2.15,1.48,73.0,34.0,0.0,0.0,75.71,12.66,58.0,93.0,7.0,oulad
AAA,2013J,135400,f,south east region,lower than a level,90-100%,35-55,0,60,yes,Withdrawn,1,1969-12-31 23:59:59.999999968,1970-01-01 00:00:00.000000144,365.0,1,16071,3.02,4.03,610.0,202.0,14.0,0.0,53.14,9.79,43.0,72.0,7.0,oulad
AAA,2013J,137873,m,south west region,a level or equivalent,40-50%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999805,,365.0,0,16071,3.92,4.55,5528.0,1409.0,133.0,0.0,80.2,5.63,72.0,87.0,5.0,oulad
AAA,2013J,141355,f,east midlands region,a level or equivalent,30-40%,0-35,0,240,no,Pass,0,1969-12-31 23:59:59.999999939,,365.0,0,16071,3.12,2.78,1823.0,585.0,35.0,0.0,72.6,2.88,70.0,77.0,5.0,oulad
AAA,2013J,141377,m,south west region,a level or equivalent,90-100%,0-35,0,345,no,Withdrawn,0,1969-12-31 23:59:59.999999890,1970-01-01 00:00:00.000000129,365.0,1,16071,3.02,2.93,756.0,250.0,18.0,0.0,48.83,9.97,39.0,65.0,6.0,oulad
AAA,2013J,142326,f,north region,a level or equivalent,50-60%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999963,,365.0,0,16071,3.36,3.72,2121.0,631.0,51.0,0.0,73.6,6.27,65.0,82.0,5.0,oulad
AAA,2013J,144801,f,south region,he qualification,80-90%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999933,,365.0,0,16071,3.48,3.34,5645.0,1620.0,128.0,0.0,68.8,7.76,61.0,79.0,5.0,oulad
AAA,2013J,145130,m,south west region,he qualification,60-70%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999964,,365.0,0,16071,3.03,3.32,452.0,149.0,9.0,0.0,54.4,14.76,37.0,75.0,5.0,oulad
AAA,2013J,146188,f,west midlands region,a level or equivalent,20-30%,0-35,0,60,yes,Fail,1,1969-12-31 23:59:59.999999868,,365.0,0,16071,3.11,2.87,597.0,192.0,14.0,0.0,50.0,8.75,40.0,62.0,5.0,oulad
AAA,2013J,147756,m,north region,lower than a level,60-70%,0-35,0,120,no,Fail,0,1969-12-31 23:59:59.999999908,,365.0,0,16071,2.91,9.27,1718.0,590.0,32.0,0.0,68.67,14.4,32.0,82.0,9.0,oulad
AAA,2013J,147793,f,north region,lower than a level,80-90%,0-35,0,90,no,Withdrawn,0,1969-12-31 23:59:59.999999862,1970-01-01 00:00:00.000000058,365.0,1,16071,3.78,3.8,155.0,41.0,6.0,0.0,52.0,12.66,52.0,52.0,1.0,oulad
AAA,2013J,148993,f,north western region,a level or equivalent,30-40%,35-55,0,60,yes,Withdrawn,1,1969-12-31 23:59:59.999999826,1970-01-01 00:00:00.000000158,365.0,1,16071,3.0,3.0,3812.0,1272.0,74.0,0.0,79.5,8.38,68.0,90.0,8.0,oulad
AAA,2013J,151358,f,london region,a level or equivalent,80-90%,0-35,0,150,no,Pass,0,1969-12-31 23:59:59.999999956,,365.0,0,16071,3.03,3.61,270.0,89.0,6.0,0.0,50.0,3.67,45.0,54.0,5.0,oulad
AAA,2013J,155550,m,london region,a level or equivalent,0-10%,35-55,0,420,no,Pass,0,1969-12-31 23:59:59.999999984,,365.0,0,16071,3.65,4.34,1529.0,419.0,44.0,0.0,67.0,5.15,61.0,75.0,5.0,oulad
AAA,2013J,155854,f,east midlands region,a level or equivalent,20-30%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999946,,365.0,0,16071,4.16,4.46,4003.0,963.0,116.0,0.0,79.8,1.64,78.0,82.0,5.0,oulad
AAA,2013J,155984,f,east anglian region,lower than a level,70-80%,0-35,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999936,1970-01-01 00:00:00.000000191,365.0,1,16071,3.28,3.46,2645.0,806.0,57.0,0.0,78.14,6.23,67.0,85.0,7.0,oulad
AAA,2013J,157568,f,south west region,a level or equivalent,90-100%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999948,,365.0,0,16071,3.64,4.08,1405.0,386.0,43.0,0.0,70.6,10.45,59.0,81.0,5.0,oulad
AAA,2013J,159954,m,east midlands region,a level or equivalent,40-50%,35-55,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999954,1970-01-01 00:00:00.000000123,365.0,1,16071,3.18,3.52,2062.0,648.0,42.0,0.0,68.2,4.09,65.0,75.0,5.0,oulad
AAA,2013J,164259,m,scotland,a level or equivalent,70-80%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999936,,365.0,0,16071,1.95,1.81,466.0,239.0,5.0,0.0,71.8,9.34,58.0,82.0,5.0,oulad
AAA,2013J,167906,f,yorkshire region,a level or equivalent,40-50%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999883,,365.0,0,16071,2.93,3.15,1510.0,515.0,26.0,0.0,69.4,10.19,58.0,82.0,5.0,oulad
AAA,2013J,168936,f,west midlands region,lower than a level,10-20,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999968,,365.0,0,16071,2.47,2.78,745.0,302.0,13.0,0.0,66.4,10.64,54.0,79.0,5.0,oulad
AAA,2013J,172112,m,ireland,he qualification,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999950,,365.0,0,16071,2.78,2.89,1939.0,697.0,39.0,0.0,69.6,6.19,60.0,75.0,5.0,oulad
AAA,2013J,172797,f,ireland,a level or equivalent,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999955,,365.0,0,16071,4.29,5.29,1782.0,415.0,61.0,0.0,61.4,5.27,54.0,67.0,5.0,oulad
AAA,2013J,174782,m,east anglian region,he qualification,90-100%,55<=,0,60,no,Pass,0,1969-12-31 23:59:59.999999838,,365.0,0,16071,3.85,3.53,6318.0,1643.0,126.0,0.0,80.4,2.61,77.0,83.0,5.0,oulad
AAA,2013J,175392,m,north region,he qualification,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999805,,365.0,0,16071,3.39,2.9,4447.0,1311.0,82.0,0.0,82.4,7.23,74.0,93.0,5.0,oulad
AAA,2013J,175932,m,north western region,he qualification,70-80%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999908,,365.0,0,16071,4.61,6.51,2016.0,437.0,61.0,0.0,78.2,3.9,73.0,82.0,5.0,oulad
AAA,2013J,175991,f,north western region,a level or equivalent,80-90%,0-35,0,180,no,Fail,0,1969-12-31 23:59:59.999999943,,365.0,0,16071,2.76,4.32,138.0,50.0,4.0,0.0,37.6,9.07,28.0,51.0,5.0,oulad
AAA,2013J,180753,m,south west region,a level or equivalent,30-40%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999936,,365.0,0,16071,2.34,2.34,2012.0,858.0,28.0,0.0,53.4,8.62,44.0,61.0,5.0,oulad
AAA,2013J,181316,f,south west region,a level or equivalent,80-90%,35-55,0,120,no,Withdrawn,0,1969-12-31 23:59:59.999999961,1970-01-01 00:00:00.000000060,365.0,1,16071,3.36,4.02,487.0,145.0,9.0,0.0,76.0,12.66,76.0,76.0,1.0,oulad
AAA,2013J,183096,f,south west region,a level or equivalent,60-70%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999872,,365.0,0,16071,3.61,4.69,1975.0,547.0,50.0,0.0,54.0,2.83,51.0,57.0,5.0,oulad
AAA,2013J,183947,m,london region,a level or equivalent,10-20,0-35,0,180,no,Pass,0,1969-12-31 23:59:59.999999968,,365.0,0,16071,2.62,2.89,964.0,368.0,20.0,0.0,49.0,12.67,33.0,67.0,5.0,oulad
AAA,2013J,184271,m,south west region,he qualification,80-90%,35-55,0,170,no,Pass,0,1969-12-31 23:59:59.999999926,,365.0,0,16071,2.75,2.41,1312.0,477.0,15.0,0.0,59.8,5.89,53.0,65.0,5.0,oulad
AAA,2013J,185439,m,london region,he qualification,10-20,0-35,0,120,no,Fail,0,1969-12-31 23:59:59.999999988,,365.0,0,16071,4.31,4.78,427.0,99.0,13.0,0.0,74.0,12.66,74.0,74.0,1.0,oulad
AAA,2013J,186149,m,scotland,he qualification,30-40%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999891,,365.0,0,16071,3.65,4.56,2136.0,585.0,67.0,0.0,76.0,12.0,55.0,85.0,5.0,oulad
AAA,2013J,187100,m,south east region,a level or equivalent,50-60%,35-55,0,60,no,Distinction,0,1969-12-31 23:59:59.999999864,,365.0,0,16071,4.45,4.96,8562.0,1922.0,281.0,0.0,89.2,1.1,88.0,90.0,5.0,oulad
AAA,2013J,188278,m,yorkshire region,a level or equivalent,70-80%,35-55,0,120,no,Withdrawn,0,1969-12-31 23:59:59.999999943,1970-01-01 00:00:00.000000060,365.0,1,16071,3.02,3.35,4497.0,1491.0,102.0,0.0,71.67,5.85,63.0,79.0,6.0,oulad
AAA,2013J,189879,m,scotland,a level or equivalent,90-100%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999820,,365.0,0,16071,3.49,3.27,1541.0,442.0,34.0,0.0,79.4,6.27,70.0,85.0,5.0,oulad
AAA,2013J,192183,f,south west region,lower than a level,90-100%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999938,,365.0,0,16071,4.0,6.78,3219.0,804.0,66.0,0.0,68.4,7.09,58.0,75.0,5.0,oulad
AAA,2013J,195262,m,london region,a level or equivalent,90-100%,0-35,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999955,1970-01-01 00:00:00.000000185,365.0,1,16071,5.41,6.56,1905.0,352.0,66.0,0.0,50.0,12.66,50.0,50.0,1.0,oulad
AAA,2013J,200860,m,london region,lower than a level,50-60%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999946,,365.0,0,16071,1.91,2.09,534.0,280.0,1.0,0.0,54.4,13.3,33.0,69.0,5.0,oulad
AAA,2013J,202635,f,wales,a level or equivalent,30-40%,0-35,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999927,1970-01-01 00:00:00.000000166,365.0,1,16071,4.77,5.03,1418.0,297.0,40.0,0.0,66.67,4.16,62.0,70.0,3.0,oulad
AAA,2013J,205350,m,south west region,he qualification,80-90%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999932,,365.0,0,16071,2.96,3.05,1665.0,563.0,41.0,0.0,72.2,10.73,59.0,87.0,5.0,oulad
AAA,2013J,205719,m,east anglian region,a level or equivalent,40-50%,0-35,0,90,yes,Fail,1,1969-12-31 23:59:59.999999949,,365.0,0,16071,2.85,3.81,333.0,117.0,9.0,0.0,56.67,14.57,40.0,67.0,3.0,oulad
AAA,2013J,227499,f,london region,a level or equivalent,10-20,35-55,0,60,no,Distinction,0,1969-12-31 23:59:59.999999831,,365.0,0,16071,3.66,4.33,2953.0,807.0,76.0,0.0,83.6,0.55,83.0,84.0,5.0,oulad
AAA,2013J,227517,m,ireland,he qualification,unknown,0-35,0,180,no,Fail,0,1969-12-31 23:59:59.999999828,,365.0,0,16071,3.11,3.79,1205.0,387.0,17.0,0.0,62.6,5.13,54.0,67.0,5.0,oulad
AAA,2013J,228082,m,london region,he qualification,60-70%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999969,,365.0,0,16071,1.67,1.12,227.0,136.0,0.0,0.0,72.4,9.5,58.0,82.0,5.0,oulad
AAA,2013J,228222,m,east midlands region,lower than a level,50-60%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999892,,365.0,0,16071,2.68,2.35,445.0,166.0,6.0,0.0,61.8,10.18,45.0,71.0,5.0,oulad
AAA,2013J,229179,m,west midlands region,a level or equivalent,20-30%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999835,,365.0,0,16071,3.77,4.38,614.0,163.0,18.0,0.0,66.0,6.96,55.0,73.0,5.0,oulad
AAA,2013J,229361,m,east midlands region,a level or equivalent,50-60%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999942,,365.0,0,16071,3.48,3.8,1215.0,349.0,33.0,0.0,78.0,3.24,75.0,82.0,5.0,oulad
AAA,2013J,231554,m,london region,a level or equivalent,40-50%,0-35,0,240,no,Pass,0,1969-12-31 23:59:59.999999971,,365.0,0,16071,4.23,5.11,1839.0,435.0,48.0,0.0,67.75,8.34,62.0,80.0,4.0,oulad
AAA,2013J,235507,m,yorkshire region,a level or equivalent,90-100%,0-35,0,240,no,Withdrawn,0,1969-12-31 23:59:59.999999921,1970-01-01 00:00:00.000000109,365.0,1,16071,2.2,2.25,1257.0,572.0,12.0,0.0,57.83,14.02,30.0,69.0,6.0,oulad
AAA,2013J,236284,m,scotland,post graduate qualification,90-100%,0-35,0,60,no,Pass,0,1970-01-01 00:00:00.000000002,,1.0,0,16070,3.49,3.64,732.0,210.0,15.0,0.0,78.0,10.42,60.0,85.0,5.0,oulad
AAA,2013J,238007,m,south region,he qualification,90-100%,55<=,0,60,no,Pass,0,1969-12-31 23:59:59.999999849,,365.0,0,16071,2.6,2.12,1935.0,743.0,18.0,0.0,79.2,8.23,68.0,86.0,5.0,oulad
AAA,2013J,240712,m,london region,he qualification,80-90%,0-35,0,80,no,Pass,0,1969-12-31 23:59:59.999999955,,365.0,0,16071,3.0,3.49,321.0,107.0,8.0,0.0,75.8,7.29,66.0,82.0,5.0,oulad
AAA,2013J,240884,m,south region,a level or equivalent,90-100%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999953,,365.0,0,16071,2.24,2.18,427.0,191.0,3.0,0.0,58.4,8.76,54.0,74.0,5.0,oulad
AAA,2013J,241649,m,east anglian region,he qualification,90-100%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999950,,365.0,0,16071,3.3,3.39,1892.0,573.0,37.0,0.0,78.8,7.79,66.0,85.0,5.0,oulad
